title,version,nYes,nNo,nCantDecide,propYes,propNo,propCantDecide,item,header,continuation
Emergency Damages I,controversial,24,7,4,0.6857142857142857,0.2,0.11428571428571428,Emergency Damages,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry."
Emergency Damages I,unambiguous_covered,22,0,0,1,0,0,Emergency Damages,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry."
Emergency Damages I,unambiguous_uncovered,8,9,2,0.42105263157894735,0.47368421052631576,0.10526315789473684,Emergency Damages,"Joanne's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""</b>","Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry."
Emergency Damages II,controversial,17,14,0,0.5483870967741935,0.45161290322580644,0,Emergency Damages,"Salma's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>","Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry."
Emergency Damages II,unambiguous_covered,27,0,0,1,0,0,Emergency Damages,"Salma's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>","Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry."
Emergency Damages II,unambiguous_uncovered,2,24,4,0.06666666666666667,0.8,0.13333333333333333,Emergency Damages,"Salma's home insurance covers ""Emergency Damages,"" defined as <b>""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""</b>","Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry."
Escape of Oil I,controversial,8,10,1,0.42105263157894735,0.5263157894736842,0.05263157894736842,Escape of Oil,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage."
Escape of Oil I,unambiguous_covered,29,1,0,0.9666666666666667,0.03333333333333333,0,Escape of Oil,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage."
Escape of Oil I,unambiguous_uncovered,2,26,0,0.07142857142857142,0.9285714285714286,0,Escape of Oil,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage."
Escape of Oil II,controversial,11,13,0,0.4583333333333333,0.5416666666666666,0,Escape of Oil,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","Mariam has a wall-mounted oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage."
Escape of Oil II,unambiguous_covered,31,0,0,1,0,0,Escape of Oil,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage."
Escape of Oil II,unambiguous_uncovered,3,24,1,0.10714285714285714,0.8571428571428571,0.03571428571428571,Escape of Oil,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as <b>""oil leaking from a fixed oil-fired heating installation.""</b>","Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage."
Escape of Water I,controversial,30,1,0,0.967741935483871,0.03225806451612903,0,Escape of Water,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that leaked for several hours before Carol managed to find a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Escape of Water I,unambiguous_covered,23,0,1,0.9583333333333334,0,0.041666666666666664,Escape of Water,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that suddenly burst. Carol files a claim with her insurance company for the damage to her wall.
Escape of Water I,unambiguous_uncovered,15,15,3,0.45454545454545453,0.45454545454545453,0.09090909090909091,Escape of Water,"Carol's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>",Carol's bathroom wall has become severely damaged due to a pipe that slowly leaked over several days before Carol got around to calling a plumber who could fix the leak. Carol files a claim with her insurance company for the damage to her wall.
Escape of Water II,controversial,16,15,1,0.5,0.46875,0.03125,Escape of Water,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a large plastic water cooler on the upper floor. One day, the cooler begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage."
Escape of Water II,unambiguous_covered,20,2,0,0.9090909090909091,0.09090909090909091,0,Escape of Water,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she has a washing machine on the upper floor. One day, the washing machine begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage."
Escape of Water II,unambiguous_uncovered,8,22,0,0.26666666666666666,0.7333333333333333,0,Escape of Water,"Miranda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Miranda lives in a two-story house, and she keeps her pet goldfish in a large glass bowl on the upper floor. One day, the bowl begins to leak unexpectedly, causing water to seep through her floor and damage her walls. Miranda files a claim with her insurance company for the damage."
Escape of Water III,controversial,9,20,2,0.2903225806451613,0.6451612903225806,0.06451612903225806,Escape of Water,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda fills the tub with tomato juice to give her dog a bath after being sprayed by a skunk, but the tub suddenly cracks and begins to leak, causing the tomato juice to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage."
Escape of Water III,unambiguous_covered,27,4,0,0.8709677419354839,0.12903225806451613,0,Escape of Water,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda uses the tub for a bath and fills the tub with water, but the tub suddenly cracks and begins to leak, causing water to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage."
Escape of Water III,unambiguous_uncovered,4,20,3,0.14814814814814814,0.7407407407407407,0.1111111111111111,Escape of Water,"Belinda's home insurance policy includes coverage for ""Escape of Water"" damage, defined as <b>""damage to buildings and contents caused by a sudden, unforeseen flow of water from an internal source, such as a burst pipe or faulty appliance.""</b>","Belinda lives in a two-story house with a bathtub on the second floor. One day, Belinda, a sculpture artist, fills the tub with paint in order to dip her sculptures in paint, but the tub suddenly cracks and begins to leak, causing the paint to seep through her floor and damage her walls. Belinda files a claim with her insurance company for the damage."
Fire,controversial,14,12,3,0.4827586206896552,0.41379310344827586,0.10344827586206896,Fire,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b>","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, burning embers from a nearby quick-moving brush fire make contact with the grill and cause its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage."
Fire,unambiguous_covered,26,7,0,0.7878787878787878,0.21212121212121213,0,Fire,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b>","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a quick-moving brush fire spreads to her property, causing her garage to go up in flames before spreading to the grill and causing its propane tank to explode. Fatema files a claim with her insurance company for the damage to the garage."
Fire,unambiguous_uncovered,7,16,4,0.25925925925925924,0.5925925925925926,0.14814814814814814,Fire,"Fatema's home insurance covers ""Fire"" damage, defined as <b>""damage to the policyholder's property caused by naturally-occurring fire.""</b>","Fatema keeps a gas-powered grill next to her garage. One day, she uses the grill and leaves it briefly unattended. While she's away, a defect in the grill causes its propane tank to explode, which in turn causes her garage to go up in flames. Fatema files a claim with her insurance company for the damage to the garage."
Flood I,controversial,13,10,1,0.5416666666666666,0.4166666666666667,0.041666666666666664,Flooding,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, one of the rain barrels that she keeps next to her home begins to leak, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage."
Flood I,unambiguous_covered,26,0,0,1,0,0,Flooding,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, a car hits a fire hydrant outside her home, causing a large volume of water to suddenly seep into her home. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage."
Flood I,unambiguous_uncovered,3,31,1,0.08571428571428572,0.8857142857142857,0.02857142857142857,Flooding,"Charlotte has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a sudden release from outside the buildings.""</b>","Charlotte lives alone in a one-story home. One day, the waterbed in her bedroom begins to leak, causing a large volume of water to suddenly seep through her floors. This causes significant water damage to her basement. Charlotte files a claim with her insurance company for the damage."
Flood II,controversial,17,7,1,0.68,0.28,0.04,Flooding,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of about a week, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage."
Flood II,unambiguous_covered,19,1,0,0.95,0.05,0,Flooding,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek quickly rises over the course of a few hours during a storm, and Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage."
Flood II,unambiguous_uncovered,14,14,0,0.5,0.5,0,Flooding,"Rebecca has insurance that covers damage from ""Flooding"" to her home, defined as <b>""an invasion of the property by a large volume of water caused by a rapid build-up from outside the buildings.""</b>","Rebecca lives in a house situated next to a small creek. The water level of the creek gradually rises over the course of several years, and one day Rebecca notices that water from the creek has begun to collect in her basement and cause significant damage. Rebecca files a claim with her insurance company for the damage."
Garden Plants I,controversial,9,14,0,0.391304347826087,0.6086956521739131,0,Garden Plants,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie is unable to find the fertilizer within driving distance from her home or online. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants."
Garden Plants I,unambiguous_covered,29,0,0,1,0,0,Garden Plants,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, they start picketing outside, and some of their picketing activities spill over to Genie's property. When the strikers inadvertently walk on Genie's plants, the plants die. Genie files a claim with her insurance company for the damage to her plants."
Garden Plants I,unambiguous_uncovered,9,31,1,0.21951219512195122,0.7560975609756098,0.024390243902439025,Garden Plants,"Genie has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by civil commotion, strikes, or labor and political disturbances.""</b>","Genie buys special fertilizer for her garden plants from a hardware store located next door. When the workers of the store go on strike, the store temporarily shuts down due to staff shortages, and Genie decides that it is too inconvenient to buy the fertilizer from another store located slightly further away. Without the fertilizer, the plants die. Genie files a claim with her insurance company for the damage to her plants."
Garden Plants II,controversial,28,2,0,0.9333333333333333,0.06666666666666667,0,Garden Plants,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures a neighbor's middle school-aged children trampling her plants. Margot files a claim with her insurance company for the loss."
Garden Plants II,unambiguous_covered,27,0,0,1,0,0,Garden Plants,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures masked individuals trampling her plants. Margot files a claim with her insurance company for the loss."
Garden Plants II,unambiguous_uncovered,7,24,2,0.21212121212121213,0.7272727272727273,0.06060606060606061,Garden Plants,"Margot has home insurance that covers ""Garden Plants"" damage, defined as <b>""damage to plants, bushes, shrubs and trees within the boundaries of the land belonging to the home caused by malicious people or vandals.""</b>","One day, while Margot is away from her home, her surveillance footage captures her neighbor's dog trampling her plants. Margot files a claim with her insurance company for the loss."
General Damages,controversial,8,26,1,0.22857142857142856,0.7428571428571429,0.02857142857142857,General Damages,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin offers to help his girlfriend repair an air conditioner located on the second story of her home. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income."
General Damages,unambiguous_covered,33,0,0,1,0,0,General Damages,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is hired to repair an air conditioner located on the second story of a building. Because Gavin is an experienced repairman, he knows that the safest way to access the unit is with a sturdy ladder. While climbing the ladder, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income."
General Damages,unambiguous_uncovered,2,26,1,0.06896551724137931,0.896551724137931,0.034482758620689655,General Damages,"Gavin has an insurance policy that includes coverage for ""General Damages,"" which includes losses from <b>""missed employment due to injuries that occur under regular working conditions.""</b>","Gavin works as an A/C repair technician in a small town. One day, Gavin is off from work and decides to put holiday lights up on his roof. Because Gavin is an experienced repairman, he figures he doesn't need a ladder to get onto his roof and decides to free climb the exterior wall of his house instead. While climbing the wall, Gavin loses his balance and falls, causing significant injury. Because of this, he subsequently has to stop working for weeks. Gavin files a claim with his insurance company for lost income."
Goods Carrying Vehicle: Loss or Damage to Vehicle,controversial,9,16,1,0.34615384615384615,0.6153846153846154,0.038461538461538464,Loss or Damage to a Goods Carrying Vehicle,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter lends the van to an absent-minded acquaintance, who returns the van but neglects to return the key and does not answer Peter's insistent calls. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses."
Goods Carrying Vehicle: Loss or Damage to Vehicle,unambiguous_covered,31,1,0,0.96875,0.03125,0,Loss or Damage to a Goods Carrying Vehicle,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter is mugged by an individual who takes the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses."
Goods Carrying Vehicle: Loss or Damage to Vehicle,unambiguous_uncovered,7,13,0,0.35,0.65,0,Loss or Damage to a Goods Carrying Vehicle,"Peter has insurance that covers ""Loss or Damage to a Goods Carrying Vehicle,"" which includes <b>""key replacement in the case of theft.""</b>","As part of his bakery business, Peter owns a van which he uses to make local deliveries. One day, Peter realizes he has lost the key to the van. Replacing the key costs Peter hundreds of dollars. Peter files a claim with his insurance company for his losses."
Ground Heave I,controversial,17,14,2,0.5151515151515151,0.42424242424242425,0.06060606060606061,Ground Heave,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, two semi trucks collide with one another at high speed outside Blake's house. The impact from the crash causes Blake's house to shake and thereby damages the house's foundation. Blake files a claim with his insurance company for the damage."
Ground Heave I,unambiguous_covered,23,5,2,0.7666666666666667,0.16666666666666666,0.06666666666666667,Ground Heave,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, an earthquake erupts near Blake's house. The force of the earthquake causes Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
Ground Heave I,unambiguous_uncovered,8,35,4,0.1702127659574468,0.7446808510638298,0.0851063829787234,Ground Heave,"Blake has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One evening, several of Blake's friends crowd into his house for a dance party. The many rambunctious dancers cause Blake's house to shake, which damages the house's foundation. Blake files a claim with his insurance company for the damage."
Ground Heave II,controversial,9,11,1,0.42857142857142855,0.5238095238095238,0.047619047619047616,Ground Heave,"Clint has home insurance that covers ""Ground Heave"" damage, defined as <b>""loss or damage resulting from ground heave of the site on which the building stands, or landslip.""</b>","One day, Clint hears a loud crash in his house and finds that a large tree has fallen on his roof, causing significant damage. Clint files a claim with his insurance company for the damage."
